date,balance,daily_pnl
2023-04-28,1104.21,22.13
2023-04-30,1083.36,-20.85
2023-05-01,1061.65,-21.71
2023-05-02,1038.74,-22.91
2023-05-03,1017.65,-21.09
2023-05-05,957.23,-60.42
2023-05-08,882.7,-74.53
2023-05-09,892.21,9.51
2023-05-10,995.14,102.93
2023-05-11,927.77,-67.37
2023-05-12,925.29,-2.48
2023-05-16,906.48,-18.81
2023-05-18,878.39,-28.09
2023-05-22,844.57,-33.82
2023-05-23,852.32,7.75
2023-05-24,870.83,18.51
2023-05-28,836.42,-34.41
2023-05-29,844.45,8.03
2023-05-30,862.22,17.77
2023-06-02,839.03,-23.19
2023-06-05,975.45,136.42
2023-06-06,919.66,-55.79
2023-06-07,892.9,-26.76
2023-06-09,886.22,-6.68
2023-06-10,1023.57,137.35
2023-06-12,1067.28,43.71
2023-06-14,1045.9,-21.38
2023-06-15,1017.3,-28.6
2023-06-18,1008.46,-8.84
2023-06-20,943.65,-64.81
2023-06-21,885.81,-57.84
2023-06-23,836.7,-49.11
2023-06-26,856.13,19.43
2023-06-27,883.56,27.43
2023-06-28,886.06,2.5
2023-06-29,904.75,18.69
2023-06-30,915.36,10.61
2023-07-01,869.7,-45.66
2023-07-02,861.68,-8.02
2023-07-03,878.73,17.05
2023-07-04,904.43,25.7
2023-07-06,877.58,-26.85
2023-07-07,798.5,-79.08
2023-07-10,782.31,-16.19
2023-07-11,798.51,16.2
2023-07-12,775.95,-22.56
2023-07-13,1685.12,909.17
2023-07-14,1666.96,-18.16
2023-07-16,1581.37,-85.59
2023-07-17,1633.98,52.61
2023-07-18,1587.0,-46.98
2023-07-20,1846.93,259.93
2023-07-21,1907.17,60.24
2023-07-23,1813.43,-93.74
2023-07-25,2113.96,300.53
2023-07-26,2091.26,-22.7
2023-07-27,2069.2,-22.06
2023-08-01,2118.95,49.75
2023-08-02,2139.37,20.42
2023-08-04,2187.59,48.22
2023-08-08,2135.68,-51.91
2023-08-09,2072.45,-63.23
2023-08-12,2117.89,45.44
2023-08-14,2024.84,-93.05
2023-08-15,2342.25,317.41
2023-08-16,2297.29,-44.96
2023-08-17,2808.6,511.31
2023-08-19,2778.64,-29.96
2023-08-22,2529.89,-248.75
2023-08-23,2530.76,0.87
2023-08-25,2584.57,53.81
2023-08-29,2551.72,-32.85
2023-08-31,2601.65,49.93
2023-09-01,2909.74,308.09
2023-09-03,2881.67,-28.07
2023-09-05,2822.22,-59.45
2023-09-06,2825.56,3.34
2023-09-07,2666.08,-159.48
2023-09-10,2640.45,-25.63
2023-09-11,3118.43,477.98
2023-09-12,3089.24,-29.19
2023-09-13,3055.93,-33.31
2023-09-14,3006.35,-49.58
2023-09-15,2940.15,-66.2
2023-09-16,2844.73,-95.42
2023-09-18,2564.75,-279.98
2023-09-19,2703.56,138.81
2023-09-20,2734.62,31.06
2023-09-21,2678.98,-55.64
2023-09-23,2602.37,-76.61
2023-09-24,2474.15,-128.22
2023-09-25,2403.51,-70.64
2023-09-26,2353.32,-50.19
2023-09-27,2305.04,-48.28
2023-09-28,2099.56,-205.48
2023-09-29,2051.12,-48.44
2023-09-30,3130.01,1078.89
2023-10-01,3100.05,-29.96
2023-10-02,3019.12,-80.93
2023-10-03,2958.19,-60.93
2023-10-04,3018.42,60.23
2023-10-06,3051.35,32.93
2023-10-08,3076.07,24.72
2023-10-09,3839.65,763.58
2023-10-10,3788.16,-51.49
2023-10-11,2916.12,-872.04
2023-10-12,2652.98,-263.14
2023-10-16,2535.73,-117.25
2023-10-17,2560.56,24.83
2023-10-19,2480.52,-80.04
2023-10-21,4578.24,2097.72
2023-10-23,4528.7,-49.54
2023-10-25,4405.1,-123.6
2023-10-27,4373.93,-31.17
2023-10-28,4250.25,-123.68
2023-10-29,4336.96,86.71
2023-10-30,4451.23,114.27
2023-10-31,5286.07,834.84
2023-11-01,5179.8,-106.27
2023-11-02,5127.62,-52.18
2023-11-04,4808.55,-319.07
2023-11-05,4601.0,-207.55
2023-11-06,4467.75,-133.25
2023-11-07,4343.37,-124.38
2023-11-08,4391.44,48.07
2023-11-09,4333.9,-57.54
2023-11-10,4215.88,-118.02
2023-11-13,4244.22,28.34
2023-11-14,4157.42,-86.8
2023-11-15,4244.54,87.12
2023-11-16,4293.94,49.4
2023-11-20,4295.87,1.93
2023-11-22,4146.64,-149.23
2023-11-24,4180.67,34.03
2023-11-26,4057.06,-123.61
2023-11-27,3731.98,-325.08
2023-11-28,3624.43,-107.55
2023-11-29,3654.69,30.26
2023-12-01,3597.02,-57.67
2023-12-02,3595.12,-1.9
2023-12-04,3351.46,-243.66
2023-12-05,3216.83,-134.63
2023-12-06,3116.16,-100.67
2023-12-07,3030.86,-85.3
2023-12-08,3008.78,-22.08
2023-12-10,3037.25,28.47
2023-12-11,3040.15,2.9
2023-12-14,2964.47,-75.68
2023-12-16,2880.52,-83.95
2023-12-19,2791.84,-88.68
2023-12-20,2818.62,26.78
2023-12-21,2725.85,-92.77
2023-12-22,2635.33,-90.52
2023-12-23,2610.47,-24.86
2023-12-24,2534.88,-75.59
2023-12-26,2600.0,65.12
2023-12-27,2493.3,-106.7
2023-12-28,2465.83,-27.47
2024-01-01,2395.71,-70.12
2024-01-02,2310.21,-85.5
2024-01-04,2285.49,-24.72
2024-01-08,2188.13,-97.36
2024-01-09,2144.45,-43.68
2024-01-10,2141.16,-3.29
2024-01-11,2083.86,-57.3
2024-01-12,2041.05,-42.81
2024-01-14,2059.78,18.73
2024-01-15,2111.39,51.61
2024-01-19,2407.79,296.4
2024-01-22,2305.18,-102.61
2024-01-23,2431.93,126.75
2024-01-25,2453.07,21.14
2024-01-26,2387.06,-66.01
2024-01-28,2410.51,23.45
2024-01-29,2315.99,-94.52
2024-01-30,2284.59,-31.4
2024-01-31,2171.23,-113.36
2024-02-02,2081.47,-89.76
2024-02-03,1985.01,-96.46
2024-02-05,1944.32,-40.69
2024-02-06,1826.25,-118.07
2024-02-07,1802.83,-23.42
2024-02-08,1769.77,-33.06
2024-02-09,1748.34,-21.43
2024-02-12,1714.12,-34.22
2024-02-13,1695.64,-18.48
2024-02-14,2417.7,722.06
2024-02-16,2452.04,34.34
2024-02-18,2440.31,-11.73
2024-02-19,2375.66,-64.65
2024-02-20,2275.62,-100.04
2024-02-21,2113.88,-161.74
2024-02-22,2100.6,-13.28
2024-02-25,2073.68,-26.92
2024-02-26,1905.81,-167.87
2024-02-27,2698.77,792.96
2024-02-28,4233.49,1534.72
2024-02-29,4064.47,-169.02
2024-03-02,3925.34,-139.13
2024-03-03,3815.32,-110.02
2024-03-04,3844.6,29.28
2024-03-05,4664.78,820.18
2024-03-06,4526.02,-138.76
2024-03-07,4372.59,-153.43
2024-03-10,4403.38,30.79
2024-03-11,4273.01,-130.37
2024-03-12,4275.85,2.84
2024-03-13,4313.67,37.82
2024-03-14,4136.18,-177.49
2024-03-15,4092.06,-44.12
2024-03-16,4047.59,-44.47
2024-03-17,3976.7,-70.89
2024-03-19,3929.95,-46.75
2024-03-20,3974.56,44.61
2024-03-25,4138.83,164.27
2024-03-26,4178.72,39.89
2024-03-27,4031.68,-147.04
2024-03-28,3987.54,-44.14
2024-03-30,4071.45,83.91
2024-03-31,4152.19,80.74
2024-04-01,3930.26,-221.93
2024-04-02,3545.53,-384.73
2024-04-05,3474.09,-71.44
2024-04-08,3415.19,-58.9
2024-04-10,3238.5,-176.69
2024-04-12,3489.12,250.62
2024-04-13,3459.15,-29.97
2024-04-16,3425.34,-33.81
2024-04-17,3372.93,-52.41
2024-04-19,3059.8,-313.13
2024-04-22,2901.79,-158.01
2024-04-23,2934.84,33.05
2024-04-24,2892.29,-42.55
2024-04-25,2830.06,-62.23
2024-04-27,3246.77,416.71
2024-04-28,3621.46,374.69
2024-04-30,4212.63,591.17
2024-05-01,4240.5,27.87
2024-05-02,4206.12,-34.38
2024-05-03,4167.24,-38.88
2024-05-04,4255.51,88.27
2024-05-05,4115.61,-139.9
2024-05-06,3949.43,-166.18
2024-05-14,3869.26,-80.17
2024-05-15,3948.27,79.01
2024-05-16,4108.51,160.24
2024-05-17,3945.88,-162.63
2024-05-20,3890.85,-55.03
2024-05-22,3975.52,84.67
2024-05-23,3899.91,-75.61
2024-05-24,3823.01,-76.9
2024-05-26,3853.75,30.74
2024-05-27,3653.65,-200.1
2024-05-28,3613.22,-40.43
2024-05-29,5011.65,1398.43
2024-05-30,5122.35,110.7
2024-06-02,5044.14,-78.21
2024-06-03,4886.5,-157.64
2024-06-04,4789.92,-96.58
2024-06-06,4866.91,76.99
2024-06-07,6975.23,2108.32
2024-06-09,6900.24,-74.99
2024-06-11,7284.19,383.95
2024-06-12,7138.38,-145.81
2024-06-14,6994.15,-144.23
2024-06-17,6766.77,-227.38
2024-06-18,6557.65,-209.12
