trade_id,stream,sym,side,entry_ts,exit_ts,duration_h,entry_price,stop_price,tp_price,pnl_r,reason,bars_5m,risk_pct,balance_before,dollar_risk,dollar_pnl,balance_after
2150,S2,SOLUSDT,-1,2025-10-16 16:00:00+00:00,2025-10-21 15:20:00+00:00,119.33,187.5,194.75033847,156.31415353,-0.99574,SL,1433,3.3981,3399.24,115.51,-115.02,2653.5
2151,S2,LINKUSDT,-1,2025-10-16 16:00:00+00:00,2025-10-20 06:20:00+00:00,86.33,17.652,18.21883057,14.99826755,-0.91627,SL,1037,3.3981,3399.24,115.51,-105.84,2860.91
2152,S4,ETHUSDT,1,2025-10-16 17:00:00+00:00,2025-10-16 20:30:00+00:00,3.5,3962.8,3837.02699763,6415.37354622,-1.009452,SL,43,1.9886,3399.24,67.6,-68.24,3331.0
2153,S3,BTCUSDT,-1,2025-10-17 07:00:00+00:00,2025-10-19 15:20:00+00:00,56.33,106699.1,108568.58903606,97351.6548197,-1.017122,SL,677,1.0606,3331.0,35.33,-35.93,2966.75
2154,S3,DOGEUSDT,-1,2025-10-17 07:00:00+00:00,2025-10-18 07:00:00+00:00,24.0,0.18247,0.18909007,0.14936963,-1.008269,SL,289,1.0606,3331.0,35.33,-35.62,3038.59
2155,S1_XRPUSDT,XRPUSDT,1,2025-10-17 08:00:00+00:00,2025-10-17 08:00:00+00:00,0.0,2.2382,2.231,2.3318,-1.093258,SL,1,4.1176,3331.0,137.16,-149.95,3181.06
2156,S3,BTCUSDT,-1,2025-10-17 08:00:00+00:00,2025-10-19 09:45:00+00:00,49.75,105578.3,107515.32553349,95893.17233257,-1.016352,SL,598,1.0606,3331.0,35.33,-35.91,3002.69
2157,S3,LINKUSDT,-1,2025-10-17 08:00:00+00:00,2025-10-17 16:00:00+00:00,8.0,16.2,16.83491185,13.02544077,-1.007655,SL,97,1.0606,3331.0,35.33,-35.6,3145.46
2158,S3,DOGEUSDT,-1,2025-10-17 08:00:00+00:00,2025-10-17 16:00:00+00:00,8.0,0.17852,0.18534578,0.14439108,-1.007846,SL,97,1.0606,3331.0,35.33,-35.61,3109.85
2159,S3,XRPUSDT,-1,2025-10-17 08:00:00+00:00,2025-10-17 16:00:00+00:00,8.0,2.2382,2.31517334,1.8533333,-1.008723,SL,97,1.0606,3331.0,35.33,-35.64,3074.21
2160,S3,BTCUSDT,-1,2025-10-21 05:00:00+00:00,2025-10-21 12:20:00+00:00,7.33,107743.5,109186.93771357,100526.31143213,-1.022393,SL,89,1.0606,2860.91,30.34,-31.02,2829.89
2161,S3,LINKUSDT,-1,2025-10-21 05:00:00+00:00,2025-10-21 12:20:00+00:00,7.33,17.731,18.28534945,14.95925275,-1.009596,SL,89,1.0606,2860.91,30.34,-30.63,2799.26
2162,S3,DOGEUSDT,-1,2025-10-21 05:00:00+00:00,2025-10-21 14:10:00+00:00,9.17,0.19314,0.19758273,0.17092636,-1.013042,SL,111,1.0606,2860.91,30.34,-30.74,2768.52
2163,S4,ETHUSDT,1,2025-10-21 15:00:00+00:00,2025-10-21 21:20:00+00:00,6.33,4019.95,3930.86372783,5757.13230728,-1.013537,SL,77,1.9886,2768.52,55.05,-55.8,2597.7
2164,S1_XRPUSDT,XRPUSDT,-1,2025-10-25 04:00:00+00:00,2025-10-25 04:25:00+00:00,0.42,2.5392,2.56,2.2688,-1.036623,SL,6,4.1176,2597.7,106.96,-110.88,2486.82
2165,S1_ETHUSDT,ETHUSDT,-1,2025-10-26 16:00:00+00:00,2025-10-26 16:15:00+00:00,0.25,4073.45,4098.0,3754.3,0.750223,BE,4,1.2411,2486.82,30.86,23.15,2554.11
2166,S1_SOLUSDT,SOLUSDT,-1,2025-10-26 16:00:00+00:00,2025-10-26 16:00:00+00:00,0.0,199.42,199.83,194.09,0.654083,BE,1,2.7132,2486.82,67.47,44.13,2530.95
2167,S2,ETHUSDT,-1,2025-10-27 21:00:00+00:00,2025-10-30 12:45:00+00:00,63.75,4127.0,4199.73423914,3806.02644883,4.233606,TP,766,3.3981,2554.11,86.79,367.44,2568.06
2168,S4,DOGEUSDT,1,2025-10-28 07:00:00+00:00,2025-10-28 14:45:00+00:00,7.75,0.20115,0.19717998,0.27856535,-1.0152,SL,94,1.9886,2554.11,50.79,-51.56,2428.82
2169,S1_SOLUSDT,SOLUSDT,-1,2025-10-28 08:00:00+00:00,2025-10-28 08:35:00+00:00,0.58,202.24,203.19,189.89,-1.063865,SL,8,2.7132,2554.11,69.3,-73.72,2480.39
2170,S2,BTCUSDT,-1,2025-10-28 20:00:00+00:00,2025-10-30 13:40:00+00:00,41.67,113629.0,115149.12822135,107496.06745656,4.226377,TP,501,3.3981,2428.82,82.53,348.82,2916.88
2171,S2,ETHUSDT,-1,2025-10-28 20:00:00+00:00,2025-11-03 10:55:00+00:00,134.92,4037.22,4123.79252713,3668.17679605,4.236052,TP,1620,3.3981,2428.82,82.53,349.62,3352.69
2172,S2,DOGEUSDT,-1,2025-10-28 20:00:00+00:00,2025-10-30 19:35:00+00:00,47.58,0.19671,0.20152258,0.17673042,4.237447,TP,572,3.3981,2428.82,82.53,349.73,3292.98
2173,S2,SOLUSDT,-1,2025-10-28 21:00:00+00:00,2025-10-29 05:40:00+00:00,8.67,192.37,195.64988419,169.70989585,-0.62598,SL,105,3.3981,2428.82,82.53,-51.66,2377.16
2174,S2,XRPUSDT,-1,2025-10-28 21:00:00+00:00,2025-10-29 09:35:00+00:00,12.58,2.5904,2.64638767,2.32476548,-0.908204,SL,152,3.3981,2428.82,82.53,-74.96,2302.2
2175,S1_XRPUSDT,XRPUSDT,-1,2025-10-29 12:00:00+00:00,2025-10-29 13:05:00+00:00,1.08,2.6488,2.6599,2.5045,-1.071589,SL,14,4.1176,2302.2,94.8,-101.58,2200.62
2176,S2,BTCUSDT,-1,2025-10-30 13:00:00+00:00,2025-10-31 01:05:00+00:00,12.08,108337.9,109879.70153108,100211.8132387,-0.823371,SL,146,3.3981,2568.06,87.27,-71.85,3097.67
2177,S2,LINKUSDT,-1,2025-10-30 14:00:00+00:00,2025-11-02 05:55:00+00:00,63.92,17.12,17.52633003,14.38129837,-0.638525,SL,768,3.3981,2916.88,99.12,-63.29,3003.08
2178,S3,ETHUSDT,-1,2025-10-30 14:00:00+00:00,2025-10-31 01:15:00+00:00,11.25,3764.65,3858.92292042,3293.28539789,-1.01198,SL,136,1.0606,2916.88,30.94,-31.31,3066.36
