session_day,anchor_ms,anchor_et,event_type,level,hit_ms,hit_et,minutes_to_hit,anchor_close,hit_close,move_anchor_to_hit_pct,hit_candle_range,hit_candle_range_pct_of_level,hit_candle_volume,hit_volume_zscore_24bars,forward_close,forward_return_pct,continuation_move_abs,continuation_move_pct_of_level
2025-06-11,1749675600000,2025-06-11 17:00,daily_low,2.2574,1749679500000,2025-06-11 18:05,65.0,2.2927,2.2684,-1.0599,0.012100000000000222,0.536,7035584.6,1.6221,2.2649,-0.1543,0.007,0.3101
2025-06-12,1749762000000,2025-06-12 17:00,daily_low,2.235,1749762000000,2025-06-12 17:00,0.0,2.1833,2.1833,0.0,0.006299999999999972,0.2819,6694704.0,0.0,2.1957,0.5679,0.0583,2.6085
2025-06-16,1750107600000,2025-06-16 17:00,daily_high,2.1869,1750107600000,2025-06-16 17:00,0.0,2.3219,2.3219,0.0,0.0052000000000003155,0.2378,2209046.9,0.0,2.3023,-0.8441,0.1372,6.2737
2025-06-17,1750194000000,2025-06-17 17:00,daily_low,2.1704,1750194000000,2025-06-17 17:00,0.0,2.1678,2.1678,0.0,0.00649999999999995,0.2995,1833703.5,0.0,2.1526,-0.7012,0.0202,0.9307
2025-06-20,1750453200000,2025-06-20 17:00,daily_low,2.143,1750453200000,2025-06-20 17:00,0.0,2.1267,2.1267,0.0,0.005300000000000082,0.2473,1889638.4,0.0,2.1177,-0.4232,0.0267,1.2459
2025-06-23,1750712400000,2025-06-23 17:00,daily_high,2.0889,1750715400000,2025-06-23 17:50,50.0,2.0821,2.09,0.3794,0.00649999999999995,0.3112,1630492.0,0.0388,2.1537,3.0478,0.0807,3.8633
2025-06-26,1750971600000,2025-06-26 17:00,daily_low,2.1688,1750971600000,2025-06-26 17:00,0.0,2.1286,2.1286,0.0,0.006099999999999994,0.2813,2219766.6,0.0,2.1195,-0.4275,0.0611,2.8172
2025-06-27,1751058000000,2025-06-27 17:00,daily_high,2.1974,1751091900000,2025-06-28 02:25,565.0,2.1063,2.1972,4.3156,0.0036000000000000476,0.1638,1640312.0,0.6617,2.1887,-0.3869,0.0026,0.1183
2025-06-30,1751317200000,2025-06-30 17:00,daily_high,2.2191,1751317200000,2025-06-30 17:00,0.0,2.2877,2.2877,0.0,0.010699999999999932,0.4822,3293898.1,0.0,2.2773,-0.4546,0.0689,3.1049
2025-07-01,1751403600000,2025-07-01 17:00,daily_low,2.1608,1751418900000,2025-07-01 21:15,255.0,2.169,2.1692,0.0092,0.014599999999999724,0.6757,5165056.7,11.2555,2.1729,0.1706,-0.0075,-0.3471
