symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_idx_4h,side,entry_price,stop_init,risk,tp_price,mfe1,lock1,mfe2,lock2,mfe3,lock3,rsi_l,rsi_h,rsi_window,sl_n,entry_tp_r,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars
BTCUSDT,14.0,2023-03-18T00:00:00+00:00,2023-03-18T16:30:00+00:00,2265,-1,27383.9,27763.4,379.5,22070.9,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0216473517786562,0.6783526482213477,BE,199
BTCUSDT,14.0,2023-03-19T20:00:00+00:00,2023-03-19T20:10:00+00:00,2276,-1,28245.4,28383.6,138.1999999999971,26310.600000000042,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0613141823444296,-1.0613141823444296,SL,3
BTCUSDT,14.0,2023-04-11T04:00:00+00:00,2023-04-11T19:15:00+00:00,2410,-1,30105.7,30491.0,385.2999999999993,24711.50000000001,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0234407215157022,-1.0234407215157022,SL,184
BTCUSDT,14.0,2023-04-14T04:00:00+00:00,2023-04-14T06:40:00+00:00,2428,-1,30684.5,30950.0,265.5,26967.5,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0346717514124293,-1.0346717514124293,SL,33
BTCUSDT,14.0,2023-04-20T12:00:00+00:00,2023-04-20T12:05:00+00:00,2466,1,28601.5,28520.2,81.29999999999927,29739.69999999999,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.105540590405905,0.5944594095940995,BE,2
BTCUSDT,14.0,2023-04-24T08:00:00+00:00,2023-04-24T08:30:00+00:00,2489,1,27440.9,27331.0,109.90000000000146,28979.500000000022,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.074906915377615,-1.074906915377615,SL,7
BTCUSDT,14.0,2023-04-25T04:00:00+00:00,2023-04-25T18:40:00+00:00,2494,1,27337.6,26919.3,418.2999999999993,33193.79999999999,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0196062156347119,0.6803937843652836,BE,177
BTCUSDT,14.0,2023-05-08T20:00:00+00:00,2023-05-08T20:00:00+00:00,2576,1,27329.0,27260.9,68.09999999999854,28282.39999999998,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.120392070484584,0.5796079295154053,BE,1
BTCUSDT,14.0,2023-05-09T04:00:00+00:00,2023-05-10T12:30:00+00:00,2578,1,27612.4,27250.0,362.40000000000146,32686.000000000022,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0228579470198675,0.6771420529801305,BE,391
BTCUSDT,14.0,2023-05-11T16:00:00+00:00,2023-05-11T17:20:00+00:00,2593,1,27166.3,26924.0,242.29999999999927,30558.49999999999,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0336355344614117,-1.0336355344614117,SL,17
BTCUSDT,14.0,2023-05-24T16:00:00+00:00,2023-05-25T01:25:00+00:00,2671,1,26306.9,26060.0,246.90000000000146,29763.500000000022,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0319646415552854,-1.0319646415552854,SL,114
BTCUSDT,14.0,2023-05-25T04:00:00+00:00,2023-05-26T00:50:00+00:00,2674,1,26171.1,25850.0,321.09999999999854,30666.499999999978,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0244513547181564,0.6755486452818481,BE,251
