tf_rule,bar_start_utc,bar_end_utc,hour_utc,weekday,weekday_name,event,atr,atr_roc_1,d_atr,close,fwd_range_pct_48m,fwd_range_pct_192m,fwd_range_pct_288m
4h,2022-11-08T00:00:00+00:00,2022-11-08T04:00:00+00:00,4,1,Tuesday,expand,0.01225859935064225,0.11115156323533859,0.0012262615884121343,0.4397,5.13986809188083,29.019786217875826,29.019786217875826
4h,2022-11-08T16:00:00+00:00,2022-11-08T20:00:00+00:00,20,1,Tuesday,expand,0.020661918368744623,0.6614718904556671,0.008226006279327337,0.3928,7.917515274949088,14.383910386965375,18.024439918533613
4h,2022-11-11T08:00:00+00:00,2022-11-11T12:00:00+00:00,12,4,Friday,contract,0.02317141059420903,-0.04462867689946837,-0.0010824161995545423,0.3887,8.00102907126319,8.00102907126319,8.927193208129665
4h,2022-11-12T08:00:00+00:00,2022-11-12T12:00:00+00:00,12,5,Saturday,contract,0.020360905811304113,-0.04736648841021873,-0.0010123773701003168,0.3714,1.9924609585352766,3.66182014001077,7.054388799138396
4h,2022-11-12T12:00:00+00:00,2022-11-12T16:00:00+00:00,16,5,Saturday,contract,0.01943512682478239,-0.045468457793648054,-0.000925778986521724,0.3696,3.0844155844155754,4.437229437229429,6.493506493506485
4h,2022-11-12T20:00:00+00:00,2022-11-13T00:00:00+00:00,0,6,Sunday,contract,0.018013961394837876,-0.044919108274075636,-0.0008472277996029107,0.3634,2.2014309301045696,6.246560264171711,10.154100165107332
4h,2022-11-17T20:00:00+00:00,2022-11-18T00:00:00+00:00,0,4,Friday,contract,0.013200935072626643,-0.04560810909958535,-0.0006308411594328194,0.3817,2.4364684307047355,3.170028818443804,3.6678019386952996
4h,2022-11-18T04:00:00+00:00,2022-11-18T08:00:00+00:00,8,4,Friday,contract,0.012299275649356645,-0.04821288435613014,-0.000623021203796665,0.381,1.4960629921259798,2.8608923884514343,2.8608923884514343
4h,2022-11-18T20:00:00+00:00,2022-11-19T00:00:00+00:00,0,5,Saturday,contract,0.010785821319795793,-0.053246060309193544,-0.0006066016399842913,0.3827,1.4371570420695075,2.116540371047817,3.4753070290044366
4h,2022-11-19T08:00:00+00:00,2022-11-19T12:00:00+00:00,12,5,Saturday,contract,0.009570899941542045,-0.04432586781290804,-0.0004439153801186167,0.3802,1.3150973172014595,4.971067859021561,6.338769068911103
4h,2022-11-19T16:00:00+00:00,2022-11-19T20:00:00+00:00,20,5,Saturday,contract,0.00880552086796227,-0.047475864747984375,-0.0004388862206124826,0.3814,1.9140010487676908,6.318825380178293,7.236497115888834
4h,2022-11-25T04:00:00+00:00,2022-11-25T08:00:00+00:00,8,4,Friday,expand,0.011078566211123284,0.11558049753191524,0.0011478025991443642,0.4152,3.7090558766859267,5.1059730250481685,5.1059730250481685
4h,2022-11-27T04:00:00+00:00,2022-11-27T08:00:00+00:00,8,6,Sunday,contract,0.009073741898345528,-0.0427950966855396,-0.00040567245371888813,0.4003,2.7229577816637436,3.972020984261796,9.243067699225575
4h,2022-11-28T00:00:00+00:00,2022-11-28T04:00:00+00:00,4,0,Monday,expand,0.010248202294175052,0.13699014895620554,0.0012347536696788418,0.3804,1.3669821240799112,3.943217665615145,4.652996845425865
4h,2022-11-29T08:00:00+00:00,2022-11-29T12:00:00+00:00,12,1,Tuesday,contract,0.00912776645172606,-0.04374101046522749,-0.00041752049628662226,0.3924,1.2996941896024448,5.708460754332322,5.708460754332322
4h,2022-12-01T16:00:00+00:00,2022-12-01T20:00:00+00:00,20,3,Thursday,contract,0.008043476723639595,-0.0442695861375878,-0.00037257513258765786,0.3969,0.9574200050390592,3.754094230284713,3.754094230284713
4h,2022-12-02T08:00:00+00:00,2022-12-02T12:00:00+00:00,12,4,Friday,contract,0.007797921144936237,-0.044290388040533424,-0.00036137854961048026,0.3902,1.5889287544848751,2.9472065607380857,2.9472065607380857
4h,2022-12-04T04:00:00+00:00,2022-12-04T08:00:00+00:00,8,6,Sunday,contract,0.006564291383878388,-0.04865426445908905,-0.00033571472183679604,0.3897,0.8211444701052041,1.8219142930459316,2.463433410315627
4h,2022-12-05T16:00:00+00:00,2022-12-05T20:00:00+00:00,20,0,Monday,expand,0.006458170290261296,0.11920153476366058,0.0006878330545952863,0.3844,1.795005202913636,2.6274713839750254,2.6274713839750254
4h,2022-12-07T04:00:00+00:00,2022-12-07T08:00:00+00:00,8,2,Wednesday,expand,0.006876957293816036,0.12627073246692744,0.0007710032850910724,0.3771,1.4850172368072112,2.041898700609914,3.924688411561915
4h,2022-12-07T16:00:00+00:00,2022-12-07T20:00:00+00:00,20,2,Wednesday,contract,0.006408117774968596,-0.04371436422718311,-0.0002929321365360473,0.3816,1.2578616352201328,3.170859538784067,3.7473794549266337
4h,2022-12-10T00:00:00+00:00,2022-12-10T04:00:00+00:00,4,5,Saturday,contract,0.0053680812762353525,-0.04864251727977187,-0.0002744677904796449,0.3877,0.41269022440030706,0.9027598658756779,1.0575187000257913
