date,balance,daily_pnl
2023-09-18,134955.68,-2110.45
2023-09-19,131148.7,-3806.98
2023-09-20,129282.93,-1865.77
2023-09-21,125277.63,-4005.3
2023-09-23,121784.96,-3492.67
2023-09-24,119735.93,-2049.03
2023-09-26,122893.01,3157.08
2023-09-27,117456.55,-5436.46
2023-09-28,99793.06,-17663.49
2023-09-29,93943.73,-5849.33
2023-09-30,136544.66,42600.93
2023-10-01,133936.09,-2608.57
2023-10-02,137430.7,3494.61
2023-10-03,135178.27,-2252.43
2023-10-04,135106.85,-71.42
2023-10-06,133179.67,-1927.18
2023-10-09,185877.23,52697.56
2023-10-11,191365.85,5488.62
2023-10-12,188196.39,-3169.46
2023-10-13,182898.96,-5297.43
2023-10-16,170131.61,-12767.35
2023-10-19,177313.87,7182.26
2023-10-20,174025.08,-3288.79
2023-10-21,256592.72,82567.64
2023-10-23,252655.04,-3937.68
2023-10-24,252631.33,-23.71
2023-10-26,268012.09,15380.76
2023-10-27,266736.74,-1275.35
2023-10-30,277182.61,10445.87
2023-10-31,332949.73,55767.12
2023-11-01,312018.86,-20930.87
2023-11-02,311994.13,-24.73
2023-11-03,307590.1,-4404.03
2023-11-04,297314.26,-10275.84
2023-11-05,279684.4,-17629.86
2023-11-06,287390.79,7706.39
2023-11-07,281593.48,-5797.31
2023-11-08,269622.04,-11971.44
2023-11-09,305095.17,35473.13
2023-11-10,300863.75,-4231.42
2023-11-11,299357.49,-1506.26
2023-11-14,326623.29,27265.8
2023-11-16,321683.2,-4940.09
2023-11-17,318457.5,-3225.7
2023-11-20,296938.53,-21518.97
2023-11-21,322057.75,25119.22
2023-11-22,314175.15,-7882.6
2023-11-27,297767.76,-16407.39
2023-11-28,292057.42,-5710.34
2023-11-29,288966.52,-3090.9
2023-11-30,284897.56,-4068.96
2023-12-01,264315.97,-20581.59
2023-12-03,255522.08,-8793.89
2023-12-04,252725.9,-2796.18
2023-12-05,240902.06,-11823.84
2023-12-06,238483.53,-2418.53
2023-12-07,231035.86,-7447.67
2023-12-08,224359.46,-6676.4
2023-12-09,258884.68,34525.22
2023-12-11,268814.53,9929.85
2023-12-12,265031.13,-3783.4
2023-12-14,254570.35,-10460.78
2023-12-15,251030.66,-3539.69
2023-12-16,247541.4,-3489.26
2023-12-17,246292.02,-1249.38
2023-12-18,293244.09,46952.07
2023-12-19,282824.25,-10419.84
2023-12-20,279875.51,-2948.74
2023-12-21,255262.95,-24612.56
2023-12-23,250431.38,-4831.57
2023-12-24,267232.94,16801.56
2023-12-26,296267.72,29034.78
2023-12-27,292116.02,-4151.7
2023-12-28,286493.55,-5622.47
2023-12-30,294421.1,7927.55
2023-12-31,302312.46,7891.36
2024-01-01,290145.36,-12167.1
2024-01-02,289036.39,-1108.97
2024-01-03,324274.0,35237.61
2024-01-04,322567.61,-1706.39
2024-01-08,301954.03,-20613.58
2024-01-09,292060.95,-9893.08
2024-01-10,282485.43,-9575.52
2024-01-11,280783.68,-1701.75
2024-01-12,299319.96,18536.28
2024-01-15,290953.38,-8366.58
2024-01-17,281459.64,-9493.74
2024-01-18,289402.0,7942.36
2024-01-19,297002.28,7600.28
2024-01-22,280785.8,-16216.48
2024-01-23,286970.15,6184.35
2024-01-26,285446.32,-1523.83
2024-01-29,272858.91,-12587.41
2024-01-31,254543.73,-18315.18
2024-02-01,254660.19,116.46
2024-02-02,236802.74,-17857.45
2024-02-03,226966.45,-9836.29
2024-02-05,227447.98,481.53
2024-02-06,220872.18,-6575.8
2024-02-07,214278.6,-6593.58
2024-02-08,214441.44,162.84
2024-02-09,209086.84,-5354.6
2024-02-10,206160.15,-2926.69
2024-02-12,223195.58,17035.43
2024-02-13,214760.83,-8434.75
2024-02-14,211615.21,-3145.62
2024-02-16,208968.47,-2646.74
2024-02-17,210021.8,1053.33
2024-02-19,208460.78,-1561.02
2024-02-20,191505.15,-16955.63
2024-02-21,187238.19,-4266.96
2024-02-24,184607.74,-2630.45
2024-02-25,197927.93,13320.19
2024-02-26,194558.68,-3369.25
2024-02-27,274729.26,80170.58
2024-02-28,324753.01,50023.75
2024-02-29,323126.66,-1626.35
2024-03-04,344652.37,21525.71
2024-03-05,446041.29,101388.92
2024-03-11,433547.66,-12493.63
2024-03-12,405780.86,-27766.8
2024-03-14,399629.8,-6151.06
2024-03-15,433094.29,33464.49
2024-03-16,426033.91,-7060.38
2024-03-19,435376.38,9342.47
2024-03-25,427119.28,-8257.1
2024-03-27,410318.49,-16800.79
2024-03-28,382309.49,-28009.0
2024-03-30,380383.57,-1925.92
2024-04-01,390759.72,10376.15
2024-04-02,449948.76,59189.04
2024-04-03,443903.18,-6045.58
2024-04-04,437840.32,-6062.86
2024-04-05,430675.44,-7164.88
2024-04-08,428495.46,-2179.98
2024-04-09,455589.35,27093.89
2024-04-10,435358.21,-20231.14
2024-04-11,429233.72,-6124.49
2024-04-12,451344.02,22110.3
2024-04-13,502627.87,51283.85
2024-04-19,434903.5,-67724.37
2024-04-20,428852.32,-6051.18
2024-04-22,424229.93,-4622.39
2024-04-24,500658.66,76428.73
2024-04-25,495546.3,-5112.36
2024-04-26,514260.51,18714.21
2024-04-27,592554.89,78294.38
2024-04-28,653305.9,60751.01
2024-04-29,650304.35,-3001.55
2024-04-30,888360.21,238055.86
2024-05-01,971479.14,83118.93
2024-05-02,920730.96,-50748.18
2024-05-03,917015.94,-3715.02
2024-05-04,912413.74,-4602.2
2024-05-06,873532.42,-38881.32
2024-05-07,873455.13,-77.29
2024-05-08,946000.98,72545.85
2024-05-10,981863.75,35862.77
2024-05-13,954191.36,-27672.39
2024-05-14,938004.22,-16187.14
2024-05-15,898240.7,-39763.52
2024-05-16,889099.9,-9140.8
2024-05-17,853032.79,-36067.11
2024-05-20,868803.71,15770.92
2024-05-21,847870.62,-20933.09
2024-05-22,831466.67,-16403.95
2024-05-23,835515.48,4048.81
2024-05-24,800687.2,-34828.28
2024-05-26,805114.14,4426.94
2024-05-28,853652.52,48538.38
2024-05-29,1148882.18,295229.66
2024-05-30,1137459.95,-11422.23
2024-05-31,1133393.94,-4066.01
2024-06-02,1119786.01,-13607.93
2024-06-03,1063113.29,-56672.72
2024-06-04,1047077.68,-16035.61
2024-06-06,1060474.14,13396.46
2024-06-07,1372298.92,311824.78
2024-06-09,1365043.14,-7255.78
2024-06-11,1534004.3,168961.16
2024-06-12,1481518.06,-52486.24
2024-06-14,1419985.43,-61532.63
2024-06-17,1447939.85,27954.42
2024-06-18,1474372.45,26432.6
2024-06-21,1409161.54,-65210.91
2024-06-22,1385825.03,-23336.51
2024-06-23,1339952.28,-45872.75
2024-06-24,1639574.72,299622.44
2024-06-25,1551810.06,-87764.66
2024-06-29,1543534.32,-8275.74
2024-06-30,1521777.33,-21756.99
2024-07-01,1469070.52,-52706.81
2024-07-02,1461253.09,-7817.43
2024-07-03,1525903.51,64650.42
2024-07-04,1826562.78,300659.27
2024-07-05,1917551.86,90989.08
2024-07-06,1834950.66,-82601.2
2024-07-09,1707412.57,-127538.09
2024-07-10,1697763.97,-9648.6
2024-07-11,1688413.12,-9350.85
2024-07-14,1570029.36,-118383.76
2024-07-15,1538315.12,-31714.24
2024-07-16,1324029.75,-214285.37
2024-07-17,1424854.49,100824.74
2024-07-18,1418201.39,-6653.1
2024-07-19,1456116.49,37915.1
2024-07-21,1602400.09,146283.6
2024-07-22,1474910.96,-127489.13
2024-07-23,1411969.0,-62941.96
2024-07-24,1446710.15,34741.15
2024-07-25,1456620.37,9910.22
2024-07-28,1436069.3,-20551.07
2024-07-29,1428825.69,-7243.61
2024-07-30,1452803.0,23977.31
2024-07-31,1408586.93,-44216.07
