exit_ts,symbol,pnl_r,reason,pnl_usd,equity
2025-04-07 00:00:00+00:00,LINKUSDT,-1.024795,SL,-2436.3,92657.94
2025-04-07 00:00:00+00:00,SOLUSDT,-1.0178005494505495,SL,-2357.68,90300.26
2025-04-07 04:00:00+00:00,BTCUSDT,-1.0183856070674693,SL,-2299.01,88001.25
2025-04-07 04:00:00+00:00,XRPUSDT,-1.009764745762712,SL,-2221.51,85779.73
2025-04-09 08:00:00+00:00,BTCUSDT,5.951209427828348,BE,12762.33,98542.06
2025-04-09 08:00:00+00:00,LINKUSDT,2.98692,BE,7358.43,105900.49
2025-04-12 20:00:00+00:00,SOLUSDT,-1.0305671875,SL,-2728.44,103172.05
2025-04-12 20:00:00+00:00,XRPUSDT,0.9810683284457478,BE,2530.47,105702.52
2025-04-13 04:00:00+00:00,BTCUSDT,2.96043421011914,BE,7823.13,113525.66
2025-04-13 16:00:00+00:00,XRPUSDT,2.9859268656716416,BE,8474.48,122000.14
2025-04-14 12:00:00+00:00,SOLUSDT,0.9910839729119639,BE,3022.81,125022.95
2025-04-19 08:00:00+00:00,SOLUSDT,-1.096774418604656,SL,-3428.05,121594.9
2025-04-20 20:00:00+00:00,LINKUSDT,-1.0385382352941175,SL,-3157.02,118437.88
2025-04-21 08:00:00+00:00,BTCUSDT,-1.0574472319859407,SL,-3131.05,115306.83
2025-04-21 12:00:00+00:00,SOLUSDT,0.9894477272727273,BE,2852.25,118159.09
2025-04-22 16:00:00+00:00,DOGEUSDT,-1.0565655172413786,SL,-3121.07,115038.02
2025-04-22 16:00:00+00:00,LINKUSDT,-1.053048684210526,SL,-3028.52,112009.5
2025-04-24 20:00:00+00:00,DOGEUSDT,-1.0227744680851065,SL,-2864.01,109145.49
2025-04-26 08:00:00+00:00,SOLUSDT,0.9923852348993288,BE,2707.86,111853.35
2025-04-27 04:00:00+00:00,DOGEUSDT,0.9948537158984008,BE,2781.94,114635.29
2025-04-28 00:00:00+00:00,XRPUSDT,1.1498000000144568,TP,3295.19,117930.48
2025-04-28 08:00:00+00:00,XRPUSDT,-1.0187135359116024,SL,-3003.43,114927.05
2025-04-28 12:00:00+00:00,BTCUSDT,-1.2439216494845482,SL,-3574.01,111353.04
2025-04-29 04:00:00+00:00,BTCUSDT,2.9532786159396527,BE,8221.41,119574.45
2025-04-29 20:00:00+00:00,XRPUSDT,0.989893832599119,BE,2959.15,122533.61
2025-05-01 16:00:00+00:00,BTCUSDT,-1.130022542831378,SL,-3461.64,119071.96
2025-05-02 16:00:00+00:00,BTCUSDT,-1.0752335231685213,SL,-3200.75,115871.21
2025-05-06 16:00:00+00:00,LINKUSDT,5.936757142857143,BE,17197.48,133068.69
2025-05-08 08:00:00+00:00,BTCUSDT,-1.2917507360157183,SL,-4297.29,128771.4
2025-05-08 12:00:00+00:00,LINKUSDT,-1.0917374999999998,SL,-3514.61,125256.78
2025-05-12 04:00:00+00:00,SOLUSDT,-1.0102960238568588,SL,-3163.66,122093.12
2025-05-12 12:00:00+00:00,XRPUSDT,-1.01675625,SL,-3103.47,118989.65
2025-05-13 04:00:00+00:00,SOLUSDT,0.9928333333333333,BE,2953.42,121943.07
2025-05-13 16:00:00+00:00,XRPUSDT,-1.0223570588235293,SL,-3116.73,118826.34
2025-05-14 00:00:00+00:00,BTCUSDT,5.846340293398533,BE,17367.48,136193.82
2025-05-14 00:00:00+00:00,DOGEUSDT,-1.017226201923077,SL,-3463.5,132730.32
2025-05-14 00:00:00+00:00,LINKUSDT,2.9726238341968916,BE,9863.93,142594.25
2025-05-14 00:00:00+00:00,SOLUSDT,-1.0232353191489358,SL,-3647.69,138946.57
2025-05-18 20:00:00+00:00,BTCUSDT,-1.1747391496410766,SL,-4080.65,134865.92
2025-05-18 20:00:00+00:00,DOGEUSDT,7.920270786516854,TP,26704.36,161570.28
2025-05-19 04:00:00+00:00,BTCUSDT,7.856400134952769,TP,31734.02,193304.3
2025-05-21 00:00:00+00:00,BTCUSDT,2.8856318959372738,BE,13945.13,207249.43
2025-05-21 20:00:00+00:00,BTCUSDT,-1.066236278881233,SL,-5524.42,201725.01
2025-05-22 08:00:00+00:00,DOGEUSDT,-1.0288167330677294,SL,-5188.45,196536.56
