symbol,tp_r,mfe1_r,lock1_r,mfe2_r,lock2_r,total_r,delta_vs_tp_only,delta_vs_stage1,win_pct,max_dd_r,avg_hold_h
LINKUSDT,3.0,0.5,1.0,1.5,2.0,12.9985,-1.0,5.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,1.5,2.5,15.4985,1.5,7.5,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,1.5,3.0,17.9985,4.0,10.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,1.75,1.5,9.9985,-4.0,2.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,1.75,2.0,11.9985,-2.0,4.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,1.75,2.5,13.9985,0.0,6.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,1.75,3.0,15.9985,2.0,8.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,2.0,1.5,8.9985,-5.0,1.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,2.0,2.0,9.9985,-4.0,2.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,2.0,2.5,10.9985,-3.0,3.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,2.0,3.0,11.9985,-2.0,4.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,2.5,1.5,8.9985,-5.0,1.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,2.5,2.0,9.9985,-4.0,2.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,2.5,2.5,10.9985,-3.0,3.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,2.5,3.0,11.9985,-2.0,4.0,37.88,9.5994,50.79
LINKUSDT,5.0,0.5,1.0,1.25,1.5,20.9985,-17.0,1.0,37.88,9.5994,50.85
